"url","date","title","director","writer","stars","running_time","genre","rating","blurb"
"https://www.nytimes.com/2018/11/22/movies/inquiring-nuns-review.html","2018/11/22","Inquiring Nuns","Gordon Quinn","Not Rated","1 hours",NA,"NA","Documentary",NA
"https://www.nytimes.com/2018/11/27/movies/dieter-rams-review-documentary.html","2018/11/27","Rams","Gary Hustwit","Dieter Rams","1h 14m",NA,"NA","Documentary",NA
"https://www.nytimes.com/2018/11/29/movies/the-mercy-review.html","2018/11/29","The Mercy","James Marsh","Scott Z. Burns","Rachel Weisz, David Thewlis, Colin Firth, Mark Gatiss, Simon McBurney","Adventure, Biography, Drama, Mystery","NA","1h 52m",NA
"https://www.nytimes.com/2018/11/29/movies/mirai-review.html","2018/11/29","Mirai","Mamoru Hosoda","Mamoru Hosoda","Haru Kuroki, Moka Kamishiraishi, Gen Hoshino, Kôji Yakusho, Kumiko Asô","1h 38m","Animation, Adventure, Drama, Family, Fantasy","PG","Rated PG for jealous older brothers and mild ontological unease. In Japanese, with English subtitles"
"https://www.nytimes.com/2018/11/29/movies/driverx-review.html","2018/11/29","DriverX","Henry Barrial","Henry Barrial","Patrick Fabian, Tanya Clarke, Desmin Borges, Travis Schuldt, Melissa Fumero","Drama","NA","1h 38m",NA
"https://www.nytimes.com/2018/11/29/movies/anna-and-the-apocalypse-review.html","2018/11/29","Anna and the Apocalypse","John McPhail","Alan McDonald, Ryan McHenry","Ella Hunt, Malcolm Cumming, Sarah Swire, Christopher Leveaux, Ben Wiggins","1h 37m","Comedy, Fantasy, Horror, Musical","R","Rated R for the usual zombieland blood and guts."
"https://www.nytimes.com/2018/11/28/movies/mowgli-legend-of-the-jungle-review.html","2018/11/28","Mowgli: Legend of the Jungle","Andy Serkis","Callie Kloves","Christian Bale, Benedict Cumberbatch, Cate Blanchett, Tom Hollander, Andy Serkis","1h 44m","Adventure, Drama","PG-13","Rated PG-13 for violence, dirt, blood, death and other gritty material."
"https://www.nytimes.com/2018/11/29/movies/elliot-the-littlest-reindeer-review.html","2018/11/29","Elliot the Littlest Reindeer","Jennifer Westcott","Jennifer Westcott","Morena Baccarin, Josh Hutcherson, John Cleese, Martin Short, Christopher Jacot","1h 29m","Animation, Family","PG","Rated PG. Mendacious elves."
"https://www.nytimes.com/2018/11/29/movies/sicilian-ghost-story-review.html","2018/11/29","Sicilian Ghost Story","Fabio Grassadonia, Antonio Piazza","Fabio Grassadonia, Antonio Piazza","Julia Jedlikowska, Gaetano Fernandez, Corinne Musallari, Andrea Falzone, Federico Finocchiaro","Crime, Drama, Fantasy, Mystery, Romance","NA","2h 2m",NA
"https://www.nytimes.com/2018/11/29/movies/the-possession-of-hannah-grace-review.html","2018/11/29","The Possession of Hannah Grace","Diederik Van Rooijen","Brian Sieve","Shay Mitchell, Grey Damon, Kirby Johnson, Nick Thune, Louis Herthum","1h 25m","Horror, Mystery, Thriller","R","Rated R for gruesome images and undead nudity."
"https://www.nytimes.com/2018/11/29/movies/united-skates-review.html","2018/11/29","United Skates","Tina Brown, Dyana Winkler","Dyana Winkler","Reggie Brown, Maulud Allah, Coolio, Queen Latifah, Vin Rock","Documentary","NA","1h 29m",NA
"https://www.nytimes.com/2018/11/29/movies/happy-as-lazzaro-review.html","2018/11/29","Happy as Lazzaro","Alice Rohrwacher","Alice Rohrwacher","Adriano Tardiolo, Agnese Graziani, Luca Chikovani, Alba Rohrwacher, Sergi López","2h 5m","Drama","PG-13","Rated PG-13. Treachery and wickedness. In Italian, with English subtitles."
"https://www.nytimes.com/2018/11/29/movies/song-of-back-and-neck-review.html","2018/11/29","Song of Back and Neck","Paul Lieberstein","Paul Lieberstein","Sam Anderson, Rajeev Chhibber, Chelsea Cook, Brian d'Arcy James, Rosemarie DeWitt","Comedy","NA","1h 25m",NA
